,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,month_sold,year_built,year_renovated,Geo_Clusters
4731,405100.0,2,1.0,840,3522,1.0,0.0,0.0,3,6,840,0.0,1390,4800,5,4.0,12,2
4732,502000.0,3,1.75,1300,8800,1.0,0.0,0.0,4,8,1300,0.0,1350,8800,6,6.0,12,0
4733,425000.0,3,2.25,1260,3000,2.0,0.0,0.0,3,7,1260,0.0,1630,3042,11,10.0,12,6
4734,233500.0,3,2.25,1650,2958,2.0,0.0,0.0,3,7,1650,0.0,1510,3788,6,8.0,12,3
4735,287000.0,3,2.5,1710,10341,2.0,0.0,2.0,3,7,1710,0.0,1830,9358,3,8.0,12,3
4736,190000.0,3,1.0,1180,8775,1.0,0.0,0.0,3,7,1180,0.0,1300,8100,2,6.0,12,5
4738,330000.0,2,1.0,950,3090,1.0,0.0,0.0,4,6,950,0.0,1230,4120,12,0.0,12,4
4739,1490000.0,5,3.5,3620,7821,2.0,0.0,2.0,3,10,2790,830.0,2690,9757,9,5.0,10,1
4740,393000.0,3,2.25,2140,10256,2.0,0.0,0.0,3,8,2140,0.0,2040,11717,9,8.0,12,3
4741,353000.0,4,2.75,1920,4627,1.0,0.0,0.0,3,8,1010,910.0,1910,7210,9,9.0,12,1
4742,260000.0,2,1.0,750,6720,1.0,0.0,0.0,3,6,750,0.0,920,6720,10,1.0,12,4
4743,680000.0,3,2.5,2060,2551,2.0,0.0,0.0,3,8,1900,160.0,2060,2936,12,10.0,12,1
4744,921000.0,3,2.25,2380,11200,1.0,0.0,0.0,4,8,2380,0.0,2010,11200,7,6.0,12,1
4745,319000.0,2,1.0,750,6380,1.0,0.0,0.0,3,7,750,0.0,1690,6495,12,4.0,12,2
4746,280000.0,3,1.0,1160,10881,1.0,0.0,0.0,2,7,920,240.0,1280,10843,4,8.0,12,0
4747,220000.0,3,1.0,1050,6300,1.0,0.0,0.0,3,6,1050,0.0,740,6300,6,4.0,12,4
4748,219000.0,3,1.5,1740,5200,1.0,0.0,0.0,4,7,1060,680.0,1540,5200,1,7.0,12,3
4749,528000.0,4,2.75,2050,7171,1.0,0.0,0.0,3,8,1540,510.0,1960,7110,8,8.0,12,0
4750,405000.0,3,1.75,1980,8100,1.0,0.0,0.0,4,7,1310,670.0,1450,8212,5,4.0,12,2
4751,372977.0,3,2.5,1690,1618,2.0,0.0,0.0,3,8,1150,540.0,1690,1618,5,11.0,12,6
4752,934550.0,4,3.25,2320,5900,1.5,0.0,2.0,4,9,2320,0.0,2320,6240,5,0.0,12,4
4753,1470000.0,3,1.5,2480,9900,2.0,0.0,3.0,3,10,2130,350.0,2860,9288,2,3.0,12,2
4754,975000.0,4,2.25,2290,5350,2.0,0.0,0.0,4,9,2120,170.0,2910,5350,6,5.0,12,2
4755,800866.0,5,2.5,3180,13806,2.0,0.0,0.0,4,10,3180,0.0,3180,13798,5,8.0,12,0
4757,624000.0,4,3.0,1540,4140,1.5,0.0,0.0,5,7,1540,0.0,1460,5000,9,0.0,12,2
4758,1850000.0,5,2.25,2800,8442,2.0,1.0,4.0,3,9,2800,0.0,3220,9156,8,6.0,10,0
4759,310000.0,3,1.0,1050,9876,1.0,0.0,0.0,3,7,1050,0.0,1760,9403,5,5.0,12,2
4760,315000.0,3,1.75,1480,6800,1.0,0.0,0.0,4,7,1480,0.0,1500,7900,12,6.0,12,1
4761,675000.0,3,2.0,1010,5973,1.0,0.0,0.0,5,6,1010,0.0,1920,6015,8,4.0,12,0
4762,490000.0,3,1.75,1660,8208,1.0,0.0,0.0,4,8,1660,0.0,2210,11000,11,6.0,12,1
4763,600000.0,5,2.25,2760,6350,1.0,0.0,0.0,3,7,1380,0.0,2060,6342,2,5.0,12,4
4765,480000.0,4,1.75,2220,6500,2.0,0.0,3.0,4,8,2220,0.0,2430,11600,6,6.0,12,4
4766,196900.0,3,1.0,1270,7500,1.0,0.0,0.0,3,6,1270,0.0,1250,8000,2,5.0,12,5
4768,205500.0,3,2.0,1330,8748,1.0,0.0,0.0,3,7,1330,0.0,1510,8584,2,8.0,12,5
4769,357186.0,2,1.75,1210,1040,2.0,0.0,0.0,3,8,1210,0.0,1210,1090,6,11.0,12,6
4770,275000.0,4,2.5,2120,6754,2.0,0.0,0.0,3,7,2120,0.0,2120,6937,1,9.0,12,5
4771,248500.0,3,1.75,2090,12026,1.0,0.0,0.0,4,7,2090,0.0,1700,9496,9,4.0,12,5
4772,350000.0,3,2.5,2680,7836,2.0,0.0,0.0,3,8,2680,0.0,2340,8040,6,8.0,10,5
4774,390000.0,3,2.75,1950,12240,1.0,0.0,0.0,3,7,1250,700.0,1880,12000,7,5.0,12,2
4775,660000.0,5,2.25,3740,14913,1.5,0.0,0.0,4,9,3740,0.0,2180,7600,4,7.0,12,0
4776,310000.0,3,1.75,1140,8263,1.0,0.0,0.0,5,7,1140,0.0,1140,6770,11,4.0,12,2
4777,717000.0,3,2.5,2480,5137,2.0,0.0,0.0,3,9,2480,0.0,2480,6023,6,9.0,12,0
4778,260000.0,5,2.5,2580,11250,1.0,0.0,0.0,3,7,1410,1170.0,2240,11780,12,6.0,12,5
4779,745000.0,3,2.0,2290,5001,1.0,0.0,0.0,4,7,1490,800.0,1230,5001,4,5.0,12,2
4780,470000.0,4,2.5,2320,12042,1.0,0.0,0.0,4,7,1320,1000.0,2160,7054,2,7.0,12,0
4781,429000.0,3,2.5,2530,8820,2.0,0.0,0.0,3,8,2530,0.0,2340,9472,5,9.0,12,1
4782,220000.0,4,2.0,1400,7140,1.0,0.0,0.0,3,7,1400,0.0,1610,10500,4,6.0,12,2
4783,497000.0,3,3.0,2060,1850,2.0,0.0,0.0,3,8,1400,0.0,1910,2951,9,10.0,12,2
4784,716100.0,3,1.0,1640,4000,1.5,0.0,0.0,5,7,1640,0.0,2140,4000,7,0.0,12,2
4787,937500.0,3,1.0,1320,8500,1.0,0.0,0.0,4,7,1320,0.0,2790,10800,3,5.0,12,0
4788,720000.0,4,2.0,1760,4500,1.5,0.0,0.0,5,7,1760,0.0,1740,4220,10,0.0,12,2
4789,616000.0,3,3.25,2130,2306,2.0,0.0,1.0,5,7,1420,710.0,1560,4500,4,2.0,12,4
4790,259000.0,3,2.0,1390,7120,1.0,0.0,0.0,3,7,1390,0.0,1530,7688,4,8.0,12,5
4791,538000.0,3,1.75,1400,3825,1.5,0.0,0.0,4,6,1100,300.0,1720,5100,5,0.0,12,2
4792,605000.0,3,2.75,3230,9576,1.5,0.0,0.0,4,8,3230,0.0,2820,9576,5,6.0,12,0
4793,369950.0,3,1.0,1110,7603,1.0,0.0,0.0,3,7,1110,0.0,1260,8094,11,6.0,12,2
4794,310000.0,3,2.5,1670,4220,2.0,0.0,0.0,3,7,1670,0.0,1670,4238,4,10.0,12,3
4795,227500.0,3,1.0,1540,9450,1.0,0.0,0.0,4,7,1540,0.0,1210,9450,4,5.0,12,5
4796,274000.0,4,2.25,2090,7400,1.0,0.0,0.0,3,9,1670,420.0,2260,8000,11,7.0,12,5
4797,410000.0,3,2.0,1410,8088,1.0,0.0,0.0,3,7,1410,0.0,1770,7401,11,8.0,12,2
4799,650000.0,4,2.25,1910,5120,1.0,0.0,0.0,3,8,1300,610.0,1810,5153,9,5.0,12,2
4800,353000.0,3,2.0,1678,13862,1.0,0.0,0.0,3,7,1678,0.0,1550,11753,5,9.0,12,5
4801,224975.0,3,1.0,960,12745,1.0,0.0,0.0,4,6,960,0.0,1160,10488,3,7.0,12,3
4802,600000.0,2,1.75,2080,13054,1.0,0.0,1.0,3,7,2080,0.0,2440,13054,5,5.0,12,2
4803,437500.0,3,2.25,1790,7700,1.0,0.0,0.0,4,7,1340,450.0,1610,7350,2,7.0,12,0
4804,567000.0,3,2.5,2540,6093,2.0,0.0,0.0,3,9,2540,0.0,2540,5924,5,9.0,12,2
4805,225000.0,5,1.5,1790,11656,2.0,0.0,0.0,3,7,1790,0.0,2040,9790,5,6.0,12,5
4806,255000.0,2,1.0,940,9330,1.0,0.0,0.0,3,6,940,0.0,1900,6145,9,4.0,12,4
4808,370000.0,2,1.0,900,4600,1.0,0.0,0.0,3,6,900,0.0,1060,4600,6,5.0,12,2
4809,675000.0,4,1.75,1900,8800,1.0,0.0,0.0,3,8,1140,760.0,2280,8800,4,7.0,12,0
4810,285000.0,3,1.0,1440,4268,1.0,0.0,0.0,3,7,1040,400.0,1370,4268,9,5.0,12,4
4812,475000.0,4,2.5,2240,7245,1.0,0.0,0.0,4,7,1140,1100.0,1740,7350,12,7.0,12,0
4813,410000.0,4,2.5,3320,5034,2.0,0.0,0.0,4,7,3320,0.0,2580,4950,5,10.0,12,1
4814,895000.0,4,2.25,1950,5950,1.0,0.0,0.0,3,8,1330,620.0,2600,5593,7,4.0,12,2
4815,375000.0,3,1.5,1240,7733,1.0,0.0,0.0,3,6,790,450.0,1130,7733,8,4.0,12,2
4816,349000.0,4,2.5,1830,4694,2.0,0.0,0.0,3,7,1830,0.0,1830,5175,4,10.0,12,3
4817,650500.0,3,1.75,1740,4400,1.5,0.0,0.0,3,8,1740,0.0,1740,4400,4,0.0,12,2
4819,480000.0,4,2.75,2050,3960,1.0,0.0,0.0,4,7,1180,870.0,1440,5040,5,8.0,12,4
4821,415000.0,3,1.75,1960,5000,1.0,0.0,0.0,5,6,980,980.0,1790,5000,5,1.0,12,4
4822,195000.0,3,1.75,1070,6110,1.0,0.0,0.0,4,7,1070,0.0,1350,6148,4,6.0,12,5
4823,318000.0,5,2.5,2820,9956,1.0,0.0,0.0,4,7,1410,1410.0,2700,9956,7,6.0,12,4
4825,339950.0,2,1.0,800,3090,1.0,0.0,0.0,4,6,800,0.0,1400,3090,10,2.0,12,4
4826,215000.0,3,1.0,1260,7897,1.0,0.0,0.0,3,7,1260,0.0,1560,8285,11,7.0,12,3
4827,339900.0,3,2.5,2420,7423,2.0,0.0,0.0,3,8,2420,0.0,2260,7629,8,8.0,12,5
4828,285000.0,1,1.5,810,3211,2.0,0.0,0.0,4,7,810,0.0,1320,3298,5,8.0,12,0
4829,550000.0,3,1.0,1600,5000,1.5,0.0,0.0,3,7,1110,490.0,1380,5000,7,4.0,12,2
4830,430000.0,4,1.0,1350,9000,1.5,0.0,0.0,4,7,1350,0.0,1940,8000,7,6.0,12,2
4831,219000.0,3,1.0,970,7790,1.0,0.0,0.0,3,6,970,0.0,1150,8160,12,6.0,12,5
4832,555000.0,2,1.5,1780,4750,1.0,0.0,0.0,4,7,1080,700.0,1690,5962,8,4.0,12,2
4833,233000.0,3,2.0,1350,7686,1.0,0.0,0.0,3,7,1350,0.0,1470,7686,7,8.0,12,3
4835,454000.0,5,2.25,2550,9200,1.0,0.0,0.0,4,8,1580,970.0,2090,9200,4,7.0,12,4
4836,950000.0,4,2.5,1700,4418,2.0,0.0,0.0,3,8,1700,0.0,2090,4174,3,3.0,9,2
4837,359000.0,3,2.5,2430,7857,2.0,0.0,0.0,5,8,1730,700.0,2160,8740,9,7.0,12,1
4838,407500.0,5,2.0,2740,8230,1.5,0.0,0.0,3,7,2210,530.0,2130,8232,9,6.0,12,2
4839,224000.0,3,1.5,1560,7300,1.0,0.0,0.0,4,7,1040,520.0,1460,7910,5,6.0,12,5
4840,210000.0,2,1.0,1040,4590,1.0,0.0,0.0,3,7,1040,0.0,1040,6120,7,5.0,12,4
4841,261000.0,4,1.75,1820,9824,1.0,0.0,0.0,5,7,1820,0.0,1410,11013,1,6.0,12,3
4842,719000.0,3,3.0,1833,1706,3.0,0.0,0.0,3,9,1833,0.0,1466,1455,8,9.0,12,2
4843,440000.0,3,2.5,2160,3738,2.0,0.0,0.0,3,8,2160,0.0,1500,4000,2,9.0,12,4
4844,525000.0,3,2.75,2100,10362,2.0,0.0,0.0,3,9,1510,590.0,2240,11842,5,9.0,12,6
4845,375000.0,3,1.5,1370,9720,2.0,0.0,0.0,3,7,1370,0.0,1510,8775,7,6.0,12,0
4846,428000.0,2,2.5,1414,1960,2.0,0.0,0.0,3,8,1414,0.0,1414,2511,3,8.0,12,1
4848,199950.0,3,1.75,1550,6225,1.0,0.0,0.0,4,7,1550,0.0,1760,9496,10,4.0,12,5
4849,840000.0,4,2.25,2100,3671,1.5,0.0,0.0,3,8,1750,350.0,1800,4560,10,2.0,12,2
4850,285000.0,3,1.75,1160,7006,1.0,0.0,0.0,4,7,1160,0.0,1670,7750,9,9.0,12,3
4851,330000.0,5,2.5,3597,4972,2.0,0.0,0.0,3,7,3597,0.0,3193,6000,9,10.0,12,5
4852,147500.0,3,1.5,1230,10125,1.0,0.0,0.0,3,7,1230,0.0,1970,10125,1,5.0,12,5
4853,320000.0,4,2.5,2190,7125,2.0,0.0,0.0,5,8,2190,0.0,2190,8075,11,7.0,12,5
4854,382500.0,3,1.75,1040,9000,1.0,0.0,0.0,4,7,1040,0.0,1750,10878,7,6.0,12,6
4856,596000.0,4,2.25,2270,10000,1.0,0.0,0.0,5,8,1720,550.0,2270,10148,8,7.0,12,1
4857,220000.0,4,2.25,1950,7280,2.0,0.0,0.0,4,8,1950,0.0,1910,7280,11,7.0,12,5
4858,325000.0,3,2.5,1880,6818,2.0,0.0,0.0,3,8,1880,0.0,1970,7000,9,9.0,12,1
4859,679950.0,4,2.5,2850,5664,2.0,0.0,0.0,3,9,2850,0.0,2850,5475,3,10.0,12,6
4860,175000.0,2,1.0,1160,6911,1.0,0.0,0.0,3,7,1160,0.0,1120,6948,2,4.0,12,2
4861,268000.0,3,1.75,1370,10050,1.0,0.0,1.0,4,7,1370,0.0,1720,10050,12,6.0,12,5
4869,215000.0,4,2.0,1540,7575,1.0,0.0,0.0,4,7,1040,500.0,1720,7575,7,7.0,12,5
4870,593450.0,4,2.25,2130,7172,2.0,0.0,0.0,4,8,2130,0.0,1910,7653,4,6.0,12,0
4871,498800.0,2,1.75,1350,4614,1.0,0.0,0.0,3,8,1350,0.0,1680,4775,7,10.0,12,0
4872,849000.0,5,3.25,2450,6534,2.0,0.0,0.0,3,8,1770,680.0,1620,6534,12,5.0,11,2
4873,1150000.0,4,2.5,1940,4875,2.0,0.0,0.0,4,9,1940,0.0,1790,4875,12,2.0,12,2
4874,825000.0,5,2.5,2890,5110,2.0,0.0,2.0,3,9,2890,0.0,3010,5110,7,10.0,12,6
4875,265000.0,3,1.75,1680,9769,1.0,0.0,0.0,3,8,1340,340.0,1730,9686,2,8.0,12,1
4876,285000.0,4,2.25,1960,10400,1.0,0.0,0.0,4,8,1220,740.0,1650,8660,12,8.0,12,5
4877,240000.0,3,1.75,1590,7931,1.0,0.0,0.0,3,7,1190,400.0,1680,7931,12,7.0,12,3
4879,330000.0,4,1.75,2440,7350,1.0,0.0,0.0,3,8,1610,830.0,2180,7680,6,7.0,12,5
4880,250000.0,4,2.0,1850,7560,1.0,0.0,0.0,4,7,1540,310.0,1620,7658,6,7.0,12,5
4881,350000.0,4,2.5,2800,9538,2.0,0.0,0.0,3,8,2800,0.0,1970,7750,7,9.0,12,5
4883,275000.0,3,2.0,1910,8050,1.0,0.0,0.0,4,7,1000,910.0,1780,7344,10,7.0,12,3
4884,325000.0,4,2.25,2460,7620,1.0,0.0,0.0,3,7,1230,1230.0,2090,7620,2,6.0,12,4
4885,255000.0,1,1.0,810,5000,1.0,0.0,1.0,3,7,590,220.0,1920,5000,4,3.0,12,4
4886,562200.0,3,1.5,1900,5250,1.0,0.0,0.0,4,7,1500,400.0,1810,5250,3,4.0,12,2
4888,365000.0,3,2.5,2200,7350,1.0,0.0,0.0,5,8,1570,630.0,2350,7557,5,8.0,12,1
4889,332900.0,3,1.5,1190,11996,1.0,0.0,0.0,4,7,1190,0.0,1190,9756,3,6.0,12,0
4891,487275.0,4,2.5,2400,3986,2.0,0.0,0.0,3,8,2400,0.0,2070,3986,4,9.0,12,6
4892,310000.0,3,2.5,1670,5791,2.0,0.0,0.0,3,7,1670,0.0,1610,6034,4,9.0,12,1
4893,245000.0,2,1.0,990,4800,1.0,0.0,0.0,3,6,990,0.0,1700,5400,1,0.0,12,4
4894,325000.0,3,1.75,2920,10573,1.0,0.0,0.0,4,7,2920,0.0,1560,10572,4,6.0,12,1
4895,550000.0,3,1.75,1840,9401,1.0,0.0,0.0,3,8,1840,0.0,2850,14323,11,7.0,12,0
4896,350000.0,2,1.0,910,4500,1.5,0.0,0.0,4,7,910,0.0,1270,3500,5,0.0,12,4
4898,259950.0,3,1.5,1240,9500,1.0,0.0,0.0,4,7,1240,0.0,1845,10125,11,5.0,12,4
4899,240000.0,4,2.5,1980,7264,2.0,0.0,0.0,3,7,1980,0.0,1600,6380,12,9.0,12,3
4900,186000.0,3,1.0,1200,10080,1.0,0.0,0.0,4,7,1200,0.0,1230,9800,2,6.0,12,3
4902,475000.0,4,2.5,3150,5757,2.0,0.0,0.0,3,9,3150,0.0,3100,5757,9,10.0,12,1
4903,815000.0,5,3.5,3500,10794,2.0,0.0,0.0,3,10,3500,0.0,3110,10837,8,9.0,12,6
4904,572000.0,3,1.5,1680,13751,1.0,0.0,0.0,4,7,1680,0.0,1760,13500,9,5.0,12,1
4905,419500.0,3,2.5,1360,3188,2.0,0.0,0.0,3,7,1360,0.0,1090,3188,10,8.0,12,0
4906,298700.0,3,2.25,2110,7350,1.0,0.0,0.0,3,8,1530,580.0,2640,7777,9,7.0,12,5
4907,549000.0,2,1.0,2034,13392,1.0,1.0,4.0,5,7,1159,875.0,1156,15961,6,4.0,12,5
4908,278000.0,3,1.5,1900,9994,1.0,0.0,0.0,3,7,1120,780.0,1900,9994,4,5.0,12,4
4909,455000.0,4,2.0,2380,4500,1.5,0.0,0.0,3,6,1470,910.0,1300,4500,12,2.0,11,4
4911,465000.0,2,1.5,1120,1201,3.0,0.0,0.0,3,8,1120,0.0,1370,1298,4,9.0,12,2
4912,620000.0,4,4.0,2850,2970,2.0,0.0,0.0,3,8,2120,730.0,2380,3559,10,9.0,12,6
4913,499900.0,4,2.25,2360,7650,1.0,0.0,0.0,3,8,1640,0.0,2320,11060,4,6.0,12,2
4914,620000.0,5,3.0,2540,11422,1.0,0.0,0.0,3,8,1270,1270.0,2090,10741,2,6.0,11,1
4915,450000.0,3,1.75,1160,6120,1.0,0.0,0.0,3,7,1040,120.0,1530,6120,11,4.0,12,2
4916,690000.0,4,3.5,2710,2147,2.0,0.0,0.0,3,10,2220,490.0,2650,2252,2,10.0,12,6
4919,832500.0,3,2.0,1870,9527,1.0,0.0,0.0,4,7,1870,0.0,1970,11904,8,5.0,9,1
4920,245000.0,3,1.0,1010,9678,1.0,0.0,0.0,5,7,1010,0.0,1010,9375,11,5.0,12,5
4922,369000.0,4,2.75,2420,6495,2.0,0.0,0.0,3,8,2420,0.0,2420,6200,8,10.0,12,3
4924,653000.0,3,3.0,3040,5067,3.0,0.0,2.0,3,10,3040,0.0,1820,5998,9,9.0,12,4
4925,220650.0,2,1.75,1460,10500,1.0,0.0,0.0,3,7,1460,0.0,1340,9600,4,7.0,12,6
4926,300000.0,5,3.0,1940,6355,1.0,0.0,0.0,3,8,1200,740.0,1940,5033,6,10.0,12,4
4928,360000.0,4,2.5,1950,5451,2.0,0.0,0.0,3,7,1950,0.0,2240,6221,11,10.0,12,1
4929,672500.0,3,2.5,2450,5760,2.0,0.0,0.0,3,9,2450,0.0,2450,5762,3,9.0,12,0
4930,268000.0,4,1.5,1730,7020,1.5,0.0,0.0,4,5,1730,0.0,1110,7020,4,5.0,12,1
4931,440000.0,4,1.5,1690,3245,1.5,0.0,0.0,3,8,1690,0.0,1380,1590,12,2.0,12,4
4932,1400000.0,3,2.5,2550,7200,2.0,0.0,2.0,3,10,2550,0.0,2030,3500,5,8.0,11,4
4933,590000.0,4,2.5,2290,11072,2.0,0.0,0.0,3,9,2290,0.0,2340,9774,7,8.0,12,0
4935,266500.0,4,1.75,1880,7632,1.0,0.0,0.0,4,7,1180,700.0,1840,8528,5,7.0,12,5
4936,635000.0,4,2.5,2930,8679,2.0,0.0,0.0,3,8,2930,0.0,2030,7264,12,11.0,12,1
4940,650000.0,4,2.25,2440,9320,1.0,0.0,0.0,4,7,1880,560.0,1530,9335,3,5.0,12,0
4941,312500.0,4,1.75,2280,7840,1.0,0.0,0.0,3,7,1280,1000.0,2120,7260,2,5.0,12,1
4942,225000.0,3,1.0,900,6099,1.0,0.0,0.0,3,6,790,110.0,1240,6099,9,4.0,12,4
4943,425000.0,4,1.75,1980,8400,1.0,0.0,0.0,3,7,1330,650.0,1920,8400,11,6.0,12,0
4945,572000.0,5,2.25,2340,9225,2.0,0.0,0.0,3,8,2340,0.0,2140,9348,7,7.0,12,0
4946,386500.0,4,2.5,3110,5048,2.0,0.0,0.0,3,8,3110,0.0,3110,5190,4,10.0,12,3
4947,452000.0,2,1.0,980,5000,1.0,0.0,0.0,3,6,980,0.0,1270,4500,1,0.0,12,2
4948,278000.0,4,2.0,1480,6324,1.0,0.0,0.0,3,7,1480,0.0,1480,3600,12,4.0,12,2
4950,450000.0,2,1.75,2130,6574,1.0,0.0,0.0,3,8,1500,630.0,2130,6275,4,4.0,12,2
4951,611000.0,2,1.0,1270,5100,1.0,0.0,0.0,3,7,1100,170.0,1670,3900,11,nan,12,2
4952,214100.0,2,2.5,1150,2064,2.0,0.0,0.0,3,7,1150,0.0,1880,2855,6,10.0,12,5
4953,317000.0,3,2.5,1840,5011,2.0,0.0,0.0,3,8,1840,0.0,2000,4793,5,11.0,12,3
4954,1000000.0,4,3.5,3180,12528,2.0,0.0,1.0,4,9,2060,1120.0,2850,11410,3,7.0,12,2
4955,1000000.0,5,2.75,1510,5700,2.0,0.0,1.0,4,7,1510,0.0,2190,5700,4,4.0,12,2
4956,525000.0,4,2.5,3070,7200,2.0,0.0,0.0,3,8,3070,0.0,2590,7200,5,10.0,12,1
4957,436000.0,3,2.25,1800,6680,2.0,0.0,0.0,3,8,1800,0.0,1630,8621,10,8.0,12,2
4958,450000.0,3,1.75,1540,9154,1.0,0.0,0.0,3,8,1540,0.0,1990,10273,7,8.0,12,0
4959,588500.0,3,1.75,2330,14892,1.0,0.0,0.0,3,8,1970,360.0,2570,14217,5,7.0,12,0
4960,340000.0,4,1.75,1400,8374,1.0,0.0,0.0,3,7,1400,0.0,1420,8360,5,5.0,12,4
4963,749000.0,3,2.5,3380,7126,2.0,0.0,0.0,3,8,3380,0.0,1810,7308,8,6.0,10,0
4964,330000.0,3,1.5,1440,7875,1.0,0.0,0.0,4,8,1440,0.0,1800,8964,5,6.0,12,1
4965,568000.0,3,2.5,1740,1279,3.0,0.0,0.0,3,8,1740,0.0,1740,1280,8,10.0,12,4
4966,239000.0,3,1.75,1470,8925,1.0,0.0,0.0,4,7,1470,0.0,1430,9282,9,5.0,12,3
4967,528000.0,3,2.5,2810,4932,2.0,0.0,0.0,3,8,2810,0.0,2470,4919,1,10.0,12,2
4968,385000.0,4,3.0,2090,5102,1.0,0.0,0.0,3,7,1350,740.0,2090,5102,7,9.0,12,4
4970,815000.0,5,3.25,3230,5000,2.0,0.0,1.0,3,9,2350,880.0,1520,5000,11,10.0,12,4
4972,690000.0,3,1.75,2070,6000,1.0,0.0,3.0,3,8,1340,730.0,2200,6000,10,5.0,12,4
4973,210000.0,3,1.0,1660,7440,1.0,0.0,0.0,3,7,1270,390.0,1540,7440,3,5.0,12,4
4974,599000.0,4,1.0,1590,4280,1.5,0.0,0.0,3,7,1590,0.0,2230,4280,4,2.0,12,2
4975,860000.0,3,1.75,1860,5584,1.0,0.0,0.0,3,8,1310,550.0,1630,6022,2,5.0,12,2
4976,147200.0,3,1.0,1420,9600,1.0,0.0,0.0,4,6,1420,0.0,1400,8415,2,5.0,12,5
4977,476900.0,3,1.0,1240,5758,1.5,0.0,0.0,4,6,960,280.0,1460,5750,5,0.0,12,4
4979,570000.0,4,2.5,2640,11816,2.0,0.0,0.0,3,8,2640,0.0,2400,11816,5,9.0,12,0
4980,567500.0,3,1.0,1440,3060,1.5,0.0,0.0,4,7,1440,0.0,1440,3570,10,0.0,12,2
4982,875000.0,3,1.5,1820,12686,1.0,0.0,0.0,4,7,1820,0.0,3020,11550,7,5.0,12,1
4983,490000.0,3,2.0,2220,10275,2.0,0.0,0.0,3,9,1640,580.0,2300,9975,6,7.0,12,1
4984,335000.0,3,1.75,2430,9133,1.0,0.0,0.0,4,7,1410,1020.0,1980,9592,6,7.0,12,1
4985,550000.0,3,1.75,1670,10798,1.0,0.0,0.0,4,8,1670,0.0,2290,10798,4,6.0,12,1
4986,385000.0,3,1.75,1180,10541,1.0,0.0,0.0,4,7,940,240.0,1230,10879,5,8.0,12,0
4987,395000.0,3,1.75,1620,8085,1.0,0.0,0.0,3,7,1210,410.0,1700,8085,7,7.0,12,0
4988,650000.0,2,1.0,1030,5750,1.0,0.0,0.0,5,8,1030,0.0,1570,5750,6,2.0,12,4
4989,637000.0,4,2.75,2900,5803,2.0,0.0,0.0,3,9,2900,0.0,2900,6212,3,10.0,12,2
4990,692500.0,3,2.25,3420,9900,1.0,0.0,0.0,3,9,1710,1710.0,2290,10700,10,6.0,10,2
4992,233500.0,3,1.5,1580,10517,1.0,0.0,0.0,4,6,1580,0.0,1400,10658,9,5.0,12,5
4993,400000.0,3,2.0,1230,11413,1.0,0.0,0.0,3,7,990,240.0,1570,11517,6,8.0,12,0
4994,547000.0,5,2.5,2200,4080,1.5,0.0,0.0,5,7,1420,780.0,1300,4080,6,1.0,12,2
4995,519000.0,5,2.25,2570,13054,1.0,0.0,1.0,3,8,1470,1100.0,2570,19807,7,4.0,9,4
4997,365000.0,3,1.0,1090,6435,1.0,0.0,0.0,4,7,1090,0.0,1340,6435,5,5.0,12,4
4999,525000.0,3,1.75,1970,8000,1.0,0.0,0.0,4,8,1970,0.0,1910,8000,10,6.0,12,0
5000,430000.0,4,3.0,3220,8936,2.0,0.0,0.0,3,9,2450,770.0,2810,10500,5,8.0,12,1
5001,325000.0,3,1.0,1600,7500,1.0,0.0,0.0,3,7,1600,0.0,2050,7200,12,6.0,12,0
5002,279000.0,2,1.0,670,6300,1.0,0.0,0.0,5,6,670,0.0,760,6300,7,4.0,12,4
5003,805000.0,4,1.75,2360,4750,2.0,0.0,0.0,5,7,1660,700.0,1810,4750,3,1.0,12,2
5004,419950.0,3,3.0,2150,3962,1.5,0.0,0.0,3,7,1540,610.0,1730,4609,2,4.0,12,2
5005,425000.0,2,1.0,620,4455,1.0,0.0,0.0,3,6,620,0.0,1180,5000,4,2.0,12,2
5006,446000.0,4,1.75,1730,5922,2.0,0.0,0.0,5,7,1730,0.0,1700,6127,7,4.0,12,2
5007,455000.0,5,2.0,2500,7860,1.0,0.0,0.0,3,7,1040,1460.0,2060,9684,3,6.0,12,2
5008,226550.0,3,1.0,990,4440,1.0,0.0,0.0,3,6,990,0.0,990,6771,7,4.0,12,4
5009,764000.0,3,2.0,1420,4080,1.5,0.0,0.0,5,8,1420,0.0,1220,3060,9,0.0,12,2
5011,453000.0,4,2.0,1880,5100,1.0,0.0,0.0,3,8,1880,0.0,1610,4590,12,5.0,12,2
5012,219950.0,3,1.0,1300,9620,1.0,0.0,0.0,3,7,1300,0.0,1420,9620,2,7.0,12,5
5013,702500.0,3,1.5,2360,6750,2.0,0.0,0.0,5,7,1930,430.0,1320,4500,5,2.0,12,2
5014,285000.0,3,1.5,1780,12231,1.0,0.0,0.0,4,8,1780,0.0,2460,12663,10,5.0,12,5
5015,798750.0,2,2.25,2160,2578,3.0,0.0,0.0,3,8,2160,0.0,1800,2142,2,10.0,12,2
5016,320000.0,2,1.0,950,5316,1.0,0.0,2.0,3,7,950,0.0,1620,6085,6,4.0,12,4
5017,425000.0,3,1.75,1680,14630,1.5,0.0,0.0,3,8,1680,0.0,1920,14630,12,8.0,12,1
